artist,music_type
Alina Orlova,Type B
Sister Hazel,Type B
Zeep,Type B
the Indigo,Type B
Eileen Barton,Type B
Gym Class Heroes,Type B
L.P.,Type B
Darren Hayes,Type B
All Girl Summer Fun Band,Type B
Owl City & Carly Rae Jepsen,Type B
Foster the People,Type B
Red Hot Chili Peppers,Type B
The Rocket Summer,Type B
Owl City,Type B
Patrick Wolf,Type B
Yael Naim,Type B
Wise Guys,Type B
小沢健二,Type B
Coldplay,Type B
m-flo,Type B
of Montreal,Type B
Kirsty MacColl,Type B
KASHA,Type B
Ginger Ninja,Type B
The Zutons,Type B
The Who,Type B
311,Type B
Sugar Ray,Type B
Electric Light Orchestra,Type B
Sacha Baron Cohen,Type B
The Ready Set,Type B
Moby,Type B
Phil Lynott,Type B
Danny Dee,Type B
Gouryella,Type B
Surprise Me Mr. Davis,Type B
Pete Teo,Type B
Counting Crows,Type B
D12,Type B
Vampire Weekend,Type B
Natasha Bedingfield,Type B
Frida Hyvönen,Type B
Veruca Salt,Type B
Estelle,Type B
Brigitte Bardot,Type B
Raffi,Type B
Lenka,Type B
Grizzly Bear,Type B
Matthew Sweet,Type B
Daniel Johnston,Type B
Ludivine Sagnier,Type B
Annie,Type B
Low,Type B
Sublime,Type B
The Books,Type B
John Frusciante,Type B
Vanessa Carlton,Type B
The Ark,Type B
The Ting Tings,Type B
Dressy Bessy,Type B
Tahiti 80,Type B
Slagsmålsklubben,Type B
The Vaccines,Type B
Darwin Deez,Type B
Rilo Kiley,Type B
DEPAPEPE,Type B
Bowling for Soup,Type B
Matmos,Type B
Maccus,Type B
Mike Posner,Type B
Jim O'Rourke,Type B
Plain White T's,Type B
The English Beat,Type B
Dickie Harrell,Type B
Jack Costanzo,Type B
Каста,Type B
Keller Williams,Type B
Empire of the Sun,Type B
Spongebob Squarepants,Type B
Regina Spektor,Type B
Henry J. Walmsley,Type B
코요태,Type B
The Holloways,Type B
Jon Brion,Type B
Volbeat,Type B
Local Natives,Type B
Del Amitri,Type B
James Baskett,Type B
Schuyler Fisk,Type B
Theoretical Girl,Type B
"""Weird Al"" Yankovic",Type B
John Cale,Type B
The Lemonheads,Type B
Terry Scott Taylor,Type B
